cgpa,ssc,hsc,internships,projects,aptitude,communication,training,placed
6.8,83.0,58.0,3.0,0.0,43.0,9.0,0.0,1
9.43,67.0,80.0,3.0,5.0,94.0,5.0,0.0,1
6.74,56.0,94.0,3.0,3.0,48.0,1.0,1.0,0
6.56,82.0,56.0,0.0,0.0,77.0,5.0,1.0,0
6.86,92.0,57.0,3.0,2.0,92.0,10.0,1.0,1
5.12,77.0,61.0,0.0,1.0,72.0,7.0,1.0,0
6.84,65.0,91.0,0.0,5.0,70.0,9.0,0.0,1
5.01,61.0,59.0,3.0,0.0,50.0,8.0,1.0,1
8.03,51.0,72.0,3.0,0.0,83.0,7.0,1.0,1
8.92,93.0,72.0,3.0,0.0,98.0,2.0,0.0,1
6.93,61.0,79.0,2.0,2.0,47.0,5.0,1.0,1
6.75,55.0,62.0,0.0,3.0,48.0,2.0,0.0,0
5.72,53.0,84.0,2.0,5.0,54.0,6.0,0.0,1
7.21,93.0,75.0,0.0,5.0,59.0,5.0,1.0,1
5.48,94.0,70.0,2.0,3.0,79.0,5.0,1.0,1
5.29,72.0,61.0,1.0,3.0,54.0,10.0,0.0,1
8.51,60.0,72.0,1.0,1.0,50.0,10.0,0.0,1
9.46,64.0,57.0,1.0,4.0,75.0,5.0,1.0,1
7.95,91.0,91.0,2.0,5.0,68.0,6.0,0.0,1
8.57,94.0,67.0,0.0,3.0,63.0,7.0,1.0,1
5.24,72.0,52.0,0.0,5.0,79.0,6.0,0.0,1
9.35,94.0,60.0,2.0,1.0,40.0,5.0,0.0,1
9.42,95.0,70.0,0.0,5.0,96.0,8.0,1.0,1
7.3,67.0,88.0,0.0,5.0,69.0,6.0,0.0,1
7.53,51.0,50.0,0.0,1.0,45.0,2.0,0.0,0
5.32,92.0,53.0,1.0,0.0,60.0,2.0,0.0,0
5.39,68.0,54.0,2.0,3.0,56.0,7.0,0.0,0
8.55,83.0,52.0,3.0,1.0,60.0,2.0,1.0,1
7.35,54.0,54.0,2.0,5.0,54.0,9.0,1.0,1
5.42,73.0,68.0,2.0,5.0,41.0,3.0,0.0,0
9.27,83.0,80.0,2.0,2.0,53.0,1.0,0.0,1
6.64,85.0,72.0,1.0,0.0,41.0,2.0,0.0,0
7.37,54.0,78.0,0.0,2.0,82.0,4.0,0.0,1
9.51,92.0,53.0,0.0,4.0,63.0,5.0,0.0,1
5.41,88.0,58.0,0.0,0.0,40.0,6.0,1.0,0
7.42,83.0,63.0,1.0,1.0,44.0,8.0,1.0,1
8.33,74.0,53.0,0.0,5.0,92.0,5.0,0.0,1
7.73,51.0,60.0,2.0,0.0,96.0,8.0,1.0,1
9.79,85.0,51.0,1.0,4.0,57.0,9.0,0.0,1
7.61,71.0,59.0,1.0,5.0,78.0,10.0,0.0,1
5.21,80.0,79.0,0.0,2.0,74.0,8.0,1.0,1
6.72,75.0,69.0,1.0,1.0,92.0,10.0,1.0,1
7.38,71.0,93.0,3.0,5.0,93.0,1.0,1.0,1
7.43,77.0,87.0,1.0,3.0,88.0,4.0,0.0,1
9.15,72.0,66.0,2.0,4.0,73.0,5.0,0.0,1
5.39,61.0,73.0,0.0,5.0,94.0,6.0,0.0,1
7.63,68.0,89.0,3.0,3.0,100.0,9.0,1.0,1
9.59,52.0,81.0,2.0,5.0,98.0,5.0,1.0,1
9.25,65.0,61.0,0.0,1.0,48.0,8.0,1.0,1
9.12,66.0,89.0,3.0,0.0,68.0,9.0,1.0,1
7.91,57.0,93.0,2.0,2.0,59.0,9.0,1.0,1
6.19,91.0,79.0,1.0,4.0,97.0,1.0,0.0,1
5.1,81.0,61.0,1.0,4.0,63.0,3.0,0.0,0
5.28,81.0,62.0,2.0,2.0,59.0,4.0,1.0,0
9.29,53.0,75.0,0.0,0.0,98.0,3.0,0.0,1
5.43,61.0,92.0,1.0,0.0,60.0,10.0,1.0,1
8.68,54.0,91.0,1.0,4.0,77.0,1.0,1.0,1
5.07,95.0,64.0,1.0,0.0,60.0,6.0,1.0,0
8.52,92.0,92.0,0.0,0.0,64.0,9.0,1.0,1
5.91,90.0,63.0,2.0,5.0,75.0,7.0,0.0,1
7.7,78.0,65.0,0.0,2.0,65.0,3.0,0.0,0
9.25,75.0,88.0,3.0,1.0,44.0,1.0,0.0,0
8.03,83.0,78.0,0.0,2.0,60.0,5.0,1.0,1
5.79,88.0,69.0,3.0,4.0,99.0,5.0,1.0,1
5.23,59.0,81.0,2.0,3.0,70.0,9.0,1.0,1
9.24,88.0,68.0,2.0,3.0,47.0,7.0,0.0,1
7.63,69.0,82.0,0.0,0.0,97.0,1.0,0.0,0
8.16,71.0,54.0,0.0,5.0,64.0,8.0,0.0,1
5.09,71.0,77.0,0.0,1.0,98.0,6.0,1.0,1
6.48,67.0,67.0,2.0,0.0,58.0,10.0,0.0,1
7.96,65.0,73.0,3.0,3.0,97.0,2.0,1.0,1
7.84,57.0,59.0,0.0,4.0,52.0,6.0,0.0,1
7.4,67.0,63.0,0.0,5.0,78.0,7.0,1.0,1
8.16,84.0,92.0,3.0,1.0,56.0,10.0,1.0,1
9.15,55.0,85.0,2.0,2.0,63.0,3.0,1.0,1
8.9,64.0,53.0,3.0,5.0,56.0,5.0,1.0,1
8.96,56.0,83.0,2.0,2.0,47.0,7.0,0.0,1
7.08,60.0,72.0,0.0,3.0,74.0,1.0,1.0,0
7.88,59.0,90.0,2.0,1.0,71.0,9.0,0.0,1
8.93,66.0,71.0,3.0,4.0,43.0,8.0,0.0,1
6.27,85.0,54.0,0.0,3.0,49.0,2.0,1.0,0
7.78,80.0,95.0,2.0,4.0,99.0,1.0,0.0,1
8.74,89.0,72.0,0.0,3.0,67.0,10.0,1.0,1
7.27,69.0,79.0,1.0,0.0,46.0,8.0,0.0,0
5.85,93.0,55.0,2.0,4.0,40.0,7.0,0.0,0
8.78,90.0,56.0,2.0,4.0,47.0,2.0,1.0,1
6.74,76.0,88.0,3.0,1.0,46.0,3.0,1.0,0
7.68,71.0,58.0,2.0,5.0,47.0,9.0,1.0,1
9.61,51.0,72.0,2.0,0.0,70.0,3.0,1.0,1
6.15,88.0,64.0,1.0,2.0,75.0,8.0,1.0,1
8.35,85.0,52.0,0.0,5.0,67.0,6.0,0.0,1
8.48,74.0,84.0,0.0,0.0,57.0,2.0,0.0,0
7.16,84.0,84.0,2.0,5.0,91.0,6.0,1.0,1
7.49,68.0,68.0,0.0,3.0,57.0,5.0,1.0,1
6.85,66.0,93.0,2.0,4.0,76.0,1.0,0.0,1
5.35,75.0,87.0,3.0,5.0,95.0,1.0,0.0,1
9.17,76.0,55.0,0.0,0.0,48.0,2.0,1.0,0
8.58,93.0,73.0,0.0,4.0,49.0,3.0,1.0,0
9.43,59.0,84.0,0.0,0.0,84.0,4.0,1.0,1
5.72,53.0,68.0,0.0,2.0,96.0,9.0,0.0,1
6.72,67.0,60.0,2.0,0.0,95.0,4.0,0.0,1
9.17,51.0,91.0,1.0,2.0,82.0,7.0,0.0,1
6.45,92.0,60.0,2.0,2.0,86.0,2.0,0.0,1
9.52,55.0,83.0,2.0,4.0,55.0,1.0,0.0,1
5.38,85.0,70.0,0.0,3.0,63.0,3.0,0.0,0
6.78,82.0,73.0,1.0,2.0,56.0,5.0,0.0,0
7.07,58.0,77.0,3.0,0.0,89.0,7.0,0.0,1
9.02,84.0,69.0,0.0,4.0,78.0,3.0,1.0,1
5.37,81.0,79.0,3.0,4.0,49.0,6.0,1.0,1
8.18,58.0,91.0,1.0,4.0,83.0,2.0,1.0,1
9.56,59.0,58.0,0.0,0.0,59.0,7.0,0.0,1
8.44,69.0,62.0,0.0,0.0,67.0,7.0,1.0,1
5.79,67.0,87.0,0.0,0.0,76.0,8.0,0.0,0
5.12,80.0,67.0,3.0,1.0,72.0,4.0,0.0,0
6.77,65.0,85.0,3.0,2.0,50.0,4.0,0.0,0
9.15,50.0,75.0,0.0,2.0,47.0,8.0,0.0,1
5.33,86.0,95.0,3.0,3.0,68.0,2.0,0.0,0
9.65,90.0,58.0,0.0,1.0,87.0,3.0,0.0,1
5.29,64.0,82.0,2.0,0.0,46.0,3.0,0.0,0
6.59,94.0,93.0,1.0,2.0,48.0,7.0,0.0,0
7.57,51.0,94.0,2.0,2.0,98.0,6.0,0.0,1
8.84,69.0,59.0,3.0,3.0,65.0,9.0,0.0,1
8.52,94.0,61.0,1.0,4.0,52.0,8.0,1.0,1
6.52,86.0,56.0,0.0,2.0,86.0,2.0,1.0,1
6.25,56.0,87.0,1.0,4.0,87.0,10.0,1.0,1
6.57,85.0,88.0,1.0,3.0,40.0,10.0,1.0,1
9.46,81.0,57.0,0.0,4.0,76.0,10.0,1.0,1
7.96,66.0,55.0,0.0,3.0,45.0,5.0,0.0,0
5.41,90.0,63.0,3.0,2.0,89.0,1.0,0.0,1
7.59,76.0,79.0,1.0,3.0,63.0,10.0,0.0,1
8.76,77.0,86.0,1.0,4.0,67.0,6.0,0.0,1
5.86,94.0,64.0,3.0,3.0,93.0,4.0,1.0,1
